freq,hex,L,U,V
80,#C4C3C0,78.704836857978,0.8525819938295868,2.411972510473456
34,#C5CFD8,82.5828817163281,-6.200646913414139,-8.747290491086803
88,#B8B8B5,74.59076193477311,0.3385547846367883,2.2834104883926956
46,#FAFAF8,98.22324783057529,0.13408609280741882,1.47653335096943
41,#999EA5,64.94181882368042,-2.9071191339810944,-5.8084023592748535
17,#C2DCFB,86.75016465929383,-14.803506392908632,-28.084007483354874
22,#778796,55.60797688843169,-9.309444300486398,-13.912792632149019
147,#E0E1E1,89.3341180169413,-0.4110607903240777,-0.2170512655382888
47,#C9CBCC,81.65381033666354,-1.1627000091086688,-0.8311115388221086
70,#CAC6BE,80.0847762153974,2.228141392328916,6.5722641348520865
53,#D7DADD,86.8869277198647,-1.749331749037615,-2.497531031312428
69,#B2AEA7,71.3159815739252,2.2289958326738217,6.049442432249617
113,#D6D7D7,85.92456465597752,-0.6775985170329281,0.017101463233763572
42,#C8DCEF,86.77094914579925,-11.347972353565927,-17.780622054269593
96,#A3A5A2,67.3428067563605,-0.8486728397047608,2.1100567027693677
13,#CDD1B4,82.88083660859039,-0.65555110972127,21.71678258864896
39,#ADB0B1,71.54177360893841,-1.516215130635106,-1.4144006472422737
45,#B2D1F6,82.79388519073105,-17.26661636795573,-34.0051800783637
22,#575B32,37.388349627297835,-0.3879101962167822,26.472405621936684
50,#D4E2F0,89.30933848157363,-8.199933680780621,-12.304544961735987
37,#BBC4CD,78.78384668728968,-5.809042832599042,-7.625925006842714
34,#828965,55.745480210464855,-2.569746241535858,25.22898815309091
47,#959694,61.84910531607092,-0.40014848239896855,1.2413512736878902
60,#CCC2AF,78.68381302333681,7.205922956883419,15.22842568022488
31,#A5A186,65.81985697345513,3.747341178922468,20.279971152864796
10,#7D8341,52.84517942079369,-0.3934573435123963,41.81871579164796
11,#434A50,31.10520493601808,-4.155874970268825,-5.056675945159288
73,#DAD7D0,86.0297468527719,2.428335606808407,5.947923791647008
68,#B1A99A,69.42872209441887,5.949946461436586,11.993725660937598
37,#D5DEE5,87.97339270152152,-5.063438238284144,-6.234739762686115
64,#CBD1D6,83.54050279363648,-3.751750314589115,-4.759705258011311
52,#757677,49.5451444276758,-0.8053646837830821,-1.2110062925352905
60,#A2B5C4,72.79097362153242,-10.815481082348429,-14.256652448446356
43,#868B92,57.785583468000816,-3.4472214591342576,-6.0644206495502395
7,#CF9384,66.51831670750758,41.13006365407761,18.982192650375108
84,#E8E9E9,92.38997418066681,-0.7718652624499827,0.009690557326228606
37,#727A68,49.98742366384375,-3.2403199587380125,12.106841796403991
19,#89B2DD,70.96572648186661,-21.136242145085955,-40.619204202564724
38,#B7C6D4,79.02462034228456,-8.709063891038332,-13.44605084497627
32,#8A9487,60.03464159394198,-5.026060146840365,8.883427124323273
37,#9E9D93,64.51411069516021,1.5871654347352235,7.609692113500184
40,#AEC4DB,78.29359554081215,-12.969318641409535,-21.22798052479451
27,#EAF2F8,94.99093970545691,-4.692076315137178,-5.604657150825569
35,#5C6551,41.47685240066746,-3.938372354141868,14.022580253863492
26,#B3B07E,70.84591235384913,4.502559418303677,35.59138266422253
77,#C0BBB0,75.88537711837192,3.4261428516942254,9.03651196299206
16,#CCB89D,75.84691021890205,13.729832526143932,22.803231327152012
23,#636D74,45.45641717665949,-5.675252601442402,-6.782117892799441
9,#829F9B,63.40133966755937,-15.273629992135824,0.2719644494454069
32,#928878,57.0916858373884,7.335590130015303,12.782476982776123
