freq,hex,L,U,V
26,#B5B9BC,74.87845330816536,-2.1877091407678195,-3.017370459668444
80,#A1A19C,66.21577067256058,0.23119221698514997,4.2366485410127925
25,#9C927E,60.77677401582396,7.104290179295042,16.21200584302793
57,#D0D6DB,85.20195779640042,-3.5003695219653164,-5.327833136794523
32,#A6A98B,68.36614542995407,-7.84182677559378e-4,22.46665804889763
107,#E0E1E1,89.39339492379607,-0.7447818152585783,-0.4337133290063715
7,#5F6F7B,45.92581157853397,-8.696429902575108,-11.235820974837251
14,#484E47,32.562008730432375,-2.75436945033755,4.624125789789223
51,#A5A9A9,68.94884340324931,-2.117919251270152,-0.07830700540614939
65,#AFA597,68.31368123501579,6.3759211687582376,11.890015600222187
40,#6D7763,48.636759145857994,-4.300540743030731,13.508248838193854
10,#BCC884,78.27507318905276,-4.1237942949988184,46.648407137457546
37,#DBE0E4,88.84376800838038,-2.5414072962826824,-3.8460912920208434
63,#B3C1CD,77.22354721978864,-8.004376974998332,-11.476546251047294
51,#8C8F8E,59.0062378531016,-1.7429229229802634,0.3056891320956591
30,#C8D3DE,84.09396029663593,-6.7956878824146125,-9.939615199553392
43,#999CA2,64.35135231998315,-2.3472697791992503,-4.876694543877364
22,#7F8553,53.81950123752785,-0.8049372297553613,33.636874198758655
79,#C4C1BF,78.32708811486641,1.4836058527056124,1.9434609797600904
38,#C2B69F,74.5668643571751,8.138231069869683,18.80641282406025
36,#878C7D,57.466428729522526,-2.3417015916001276,11.008390091845413
60,#C2C9D0,80.67868084492585,-4.663878483783029,-6.355269916228838
41,#E5E3DF,90.37809910742763,0.9020313941812114,3.2237689441742345
30,#727772,49.36197838275884,-2.215114995559879,2.736173341782335
56,#BBB9B1,75.02134044728881,1.9290994388567004,6.300040031051614
32,#FCFBF8,98.53648584499138,0.7870407020612454,2.2467433724745964
37,#A8A878,67.80695305719607,2.5572596854147185,33.99512005076922
76,#CAC6BD,79.99690767191566,2.9069469304410984,7.718946924234162
25,#E5F1FA,94.57898529934678,-7.087317799894923,-8.6209756631374
8,#D39F87,69.6358180335273,35.847259808460485,24.00352720906794
32,#9B968D,62.270709029933336,3.6455561914847956,7.441761862288067
19,#57643F,40.43367915194985,-6.013049857467391,24.232906524976556
12,#D1CEA6,82.05590656688959,4.140688686125592,29.907387027150197
64,#C4BCAF,76.52492244398222,5.300101259009232,10.790147256897004
48,#A5B7C7,73.5028824036878,-10.213753802779047,-15.23067770093178
36,#7E8667,54.65952895895018,-3.2810622118609167,21.973905873086032
15,#D7D6C5,85.18813955499587,1.5161371433003348,12.515130172135994
43,#C8CBCD,81.38572347939103,-1.7977877309916714,-1.9086519112540212
25,#D5E9FC,91.30209662087435,-11.539828161018125,-18.062470695049498
89,#B1AFAC,71.5869122209102,1.3620700112865007,2.5584538098323826
19,#F1F3F4,95.7314727498745,-0.8476962137406971,-1.0315902398417638
119,#D9DADB,87.10225001006333,-0.7059216332518027,-0.5231797507810751
50,#B8D5F7,84.18742735157022,-16.471010589962205,-31.43782452237536
57,#E7E8E8,91.84932144512773,-0.5662153431780697,-0.5210974320147045
57,#D3D2CE,84.13434522054398,0.8984688380277255,2.8718487078842045
36,#DBD6CF,85.76542314848717,3.667999669463027,6.075065359819189
91,#D2D3D4,84.57263870573671,-1.0416304571528932,-0.7410854396633187
59,#B9BCB9,75.99878191802192,-1.7072292381732637,2.314128342922527
39,#C1D2E4,83.45871225164878,-10.160625369897861,-16.787202118921066
62,#ACA99F,69.13482452819976,2.848171439514766,8.19778603599768
